Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Genes_Apart	Distance_bp	Strand1	Strand2	Same_Orientation
KRH76246	KRH76254	GLYMA_01G141800	GLYMA_01G142100	478	1	3	69390	+	-	False
KRH76246	KRH76255	GLYMA_01G141800	GLYMA_01G142200	478	1	4	92051	+	-	False
KRH76246	KRH76260	GLYMA_01G141800	GLYMA_01G142500	478	1	6	219375	+	+	True
KRH76253	KRH76254	GLYMA_01G142000	GLYMA_01G142100	478	1	1	2851	-	-	True
KRH76253	KRH76255	GLYMA_01G142000	GLYMA_01G142200	478	1	2	25512	-	-	True
KRH76253	KRH76260	GLYMA_01G142000	GLYMA_01G142500	478	1	4	152836	-	+	False
KRH76254	KRH76255	GLYMA_01G142100	GLYMA_01G142200	478	1	1	22661	-	-	True
KRH76254	KRH76260	GLYMA_01G142100	GLYMA_01G142500	478	1	3	149985	-	+	False
KRH76255	KRH76260	GLYMA_01G142200	GLYMA_01G142500	478	1	2	127324	-	+	False
KRH65293	KRH65294	GLYMA_03G025700	GLYMA_03G025800	478	3	1	3955	+	+	True
KRH65293	KRH65295	GLYMA_03G025700	GLYMA_03G025900	478	3	2	7707	+	+	True
KRH65294	KRH65295	GLYMA_03G025800	GLYMA_03G025900	478	3	1	3752	+	+	True
KRH35203	KRH35204	GLYMA_10G228000	GLYMA_10G228100	479	10	1	13898	+	+	True
KRH35203	KRH35205	GLYMA_10G228000	GLYMA_10G228200	479	10	2	21832	+	+	True
KRH35203	KRH35209	GLYMA_10G228000	GLYMA_10G228600	479	10	5	39801	+	+	True
KRH35203	KRH35212	GLYMA_10G228000	GLYMA_10G228800	479	10	7	52362	+	-	False
KRH35204	KRH35205	GLYMA_10G228100	GLYMA_10G228200	479	10	1	7934	+	+	True
KRH35204	KRH35209	GLYMA_10G228100	GLYMA_10G228600	479	10	4	25903	+	+	True
KRH35204	KRH35212	GLYMA_10G228100	GLYMA_10G228800	479	10	6	38464	+	-	False
KRH35205	KRH35209	GLYMA_10G228200	GLYMA_10G228600	479	10	3	17969	+	+	True
KRH35205	KRH35212	GLYMA_10G228200	GLYMA_10G228800	479	10	5	30530	+	-	False
KRH35209	KRH35212	GLYMA_10G228600	GLYMA_10G228800	479	10	2	12561	+	-	False
KRH24382	KRH24383	GLYMA_12G037800	GLYMA_12G037900	480	12	1	377	-	-	True
KRH31150	KRH31151	GLYMA_11G230300	GLYMA_11G230400	481	11	1	9753	-	-	True
KRH31150	KRH31152	GLYMA_11G230300	GLYMA_11G230500	481	11	2	27507	-	-	True
KRH31150	KRH31153	GLYMA_11G230300	GLYMA_11G230600	481	11	3	35314	-	-	True
KRH31151	KRH31152	GLYMA_11G230400	GLYMA_11G230500	481	11	1	17754	-	-	True
KRH31151	KRH31153	GLYMA_11G230400	GLYMA_11G230600	481	11	2	25561	-	-	True
KRH31152	KRH31153	GLYMA_11G230500	GLYMA_11G230600	481	11	1	7807	-	-	True
KRG97724	KRG97725	GLYMA_18G026700	GLYMA_18G026800	481	18	1	5496	+	+	True
KRG97724	KRG97726	GLYMA_18G026700	GLYMA_18G026900	481	18	2	8671	+	+	True
KRG97725	KRG97726	GLYMA_18G026800	GLYMA_18G026900	481	18	1	3175	+	+	True
KRH47436	KRH47437	GLYMA_07G029600	GLYMA_07G029700	482	7	1	7599	-	-	True
KRG98149	KRG98150	GLYMA_18G053500	GLYMA_18G053600	485	18	1	8832	+	+	True
KRG98149	KRG98152	GLYMA_18G053500	GLYMA_18G053800	485	18	3	31641	+	-	False
KRG98150	KRG98152	GLYMA_18G053600	GLYMA_18G053800	485	18	2	22809	+	-	False
KRH72060	KRH72066	GLYMA_02G188900	GLYMA_02G189500	485	2	6	240259	+	+	True
KRG88914	KRG88915	GLYMA_U012900	GLYMA_U013000	485	scaffold_21	1	80867	+	-	False
KRH18279	KRH18280	GLYMA_13G048600	GLYMA_13G048700	486	13	1	4870	-	-	True
KRH18279	KRH18281	GLYMA_13G048600	GLYMA_13G048800	486	13	2	9597	-	+	False
KRH18279	KRH18282	GLYMA_13G048600	GLYMA_13G048900	486	13	3	15446	-	-	True
KRH18280	KRH18281	GLYMA_13G048700	GLYMA_13G048800	486	13	1	4727	-	+	False
KRH18280	KRH18282	GLYMA_13G048700	GLYMA_13G048900	486	13	2	10576	-	-	True
KRH18281	KRH18282	GLYMA_13G048800	GLYMA_13G048900	486	13	1	5849	+	-	False
KRH01282	KRH01284	GLYMA_18G266900	GLYMA_18G267100	486	18	2	25829	-	+	False
KRH45039	KRH45040	GLYMA_08G245600	GLYMA_08G245700	486	8	1	6007	-	-	True
KRH45039	KRH45043	GLYMA_08G245600	GLYMA_08G246000	486	8	4	46290	-	-	True
KRH45039	KRH45046	GLYMA_08G245600	GLYMA_08G246300	486	8	6	83021	-	+	False
KRH45040	KRH45043	GLYMA_08G245700	GLYMA_08G246000	486	8	3	40283	-	-	True
KRH45040	KRH45046	GLYMA_08G245700	GLYMA_08G246300	486	8	5	77014	-	+	False
KRH45043	KRH45046	GLYMA_08G246000	GLYMA_08G246300	486	8	2	36731	-	+	False
KRG97482	KRG97483	GLYMA_18G010700	GLYMA_18G010800	487	18	1	607	-	-	True
KRH09457	KRH09464	GLYMA_16G216700	GLYMA_16G216800	488	16	1	8540	-	-	True
KRH09457	KRH09465	GLYMA_16G216700	GLYMA_16G216900	488	16	2	16475	-	-	True
KRH09457	KRH09466	GLYMA_16G216700	GLYMA_16G217000	488	16	3	23478	-	-	True
KRH09457	KRH09467	GLYMA_16G216700	GLYMA_16G217100	488	16	4	35122	-	-	True
KRH09464	KRH09465	GLYMA_16G216800	GLYMA_16G216900	488	16	1	7935	-	-	True
KRH09464	KRH09466	GLYMA_16G216800	GLYMA_16G217000	488	16	2	14938	-	-	True
KRH09464	KRH09467	GLYMA_16G216800	GLYMA_16G217100	488	16	3	26582	-	-	True
KRH09465	KRH09466	GLYMA_16G216900	GLYMA_16G217000	488	16	1	7003	-	-	True
KRH09465	KRH09467	GLYMA_16G216900	GLYMA_16G217100	488	16	2	18647	-	-	True
KRH09466	KRH09467	GLYMA_16G217000	GLYMA_16G217100	488	16	1	11644	-	-	True
KRH38920	KRH38923	GLYMA_09G166600	GLYMA_09G166900	488	9	1	22182	-	-	True
KRH41465	KRH41466	GLYMA_08G0318002	GLYMA_08G0318001	489	8	1	2682	+	+	True
KRH18695	KRH18696	GLYMA_13G076700	GLYMA_13G076800	490	13	1	26837	-	+	False
KRH39673	KRH39675	GLYMA_09G213300	GLYMA_09G213500	491	9	1	6323	-	-	True
KRH08065	KRH08066	GLYMA_16G127600	GLYMA_16G127700	492	16	1	24427	-	-	True
KRH69778	KRH69779	GLYMA_02G047900	GLYMA_02G048000	492	2	1	5281	-	-	True
KRH44228	KRH44231	GLYMA_08G197700	GLYMA_08G198000	495	8	3	30862	-	+	False
KRH44228	KRH44232	GLYMA_08G197700	GLYMA_08G1981002	495	8	4	32598	-	+	False
KRH44228	KRH44233	GLYMA_08G197700	GLYMA_08G198200	495	8	5	35716	-	+	False
KRH44228	KRH44234	GLYMA_08G197700	GLYMA_08G1981003	495	8	6	41032	-	+	False
KRH44228	KRH44238	GLYMA_08G197700	GLYMA_08G198500	495	8	10	56380	-	-	True
KRH44231	KRH44232	GLYMA_08G198000	GLYMA_08G1981002	495	8	1	1736	+	+	True
KRH44231	KRH44233	GLYMA_08G198000	GLYMA_08G198200	495	8	2	4854	+	+	True
KRH44231	KRH44234	GLYMA_08G198000	GLYMA_08G1981003	495	8	3	10170	+	+	True
KRH44231	KRH44238	GLYMA_08G198000	GLYMA_08G198500	495	8	7	25518	+	-	False
KRH44231	KRH44239	GLYMA_08G198000	GLYMA_08G198600	495	8	8	43985	+	-	False
KRH44231	KRH44241	GLYMA_08G198000	GLYMA_08G1988002	495	8	9	56381	+	-	False
KRH44231	KRH44242	GLYMA_08G198000	GLYMA_08G1988001	495	8	10	63912	+	-	False
KRH44232	KRH44233	GLYMA_08G1981002	GLYMA_08G198200	495	8	1	3118	+	+	True
KRH44232	KRH44234	GLYMA_08G1981002	GLYMA_08G1981003	495	8	2	8434	+	+	True
KRH44232	KRH44238	GLYMA_08G1981002	GLYMA_08G198500	495	8	6	23782	+	-	False
KRH44232	KRH44239	GLYMA_08G1981002	GLYMA_08G198600	495	8	7	42249	+	-	False
KRH44232	KRH44241	GLYMA_08G1981002	GLYMA_08G1988002	495	8	8	54645	+	-	False
KRH44232	KRH44242	GLYMA_08G1981002	GLYMA_08G1988001	495	8	9	62176	+	-	False
KRH44233	KRH44234	GLYMA_08G198200	GLYMA_08G1981003	495	8	1	5316	+	+	True
KRH44233	KRH44238	GLYMA_08G198200	GLYMA_08G198500	495	8	5	20664	+	-	False
KRH44233	KRH44239	GLYMA_08G198200	GLYMA_08G198600	495	8	6	39131	+	-	False
KRH44233	KRH44241	GLYMA_08G198200	GLYMA_08G1988002	495	8	7	51527	+	-	False
KRH44233	KRH44242	GLYMA_08G198200	GLYMA_08G1988001	495	8	8	59058	+	-	False
KRH44234	KRH44238	GLYMA_08G1981003	GLYMA_08G198500	495	8	4	15348	+	-	False
KRH44234	KRH44239	GLYMA_08G1981003	GLYMA_08G198600	495	8	5	33815	+	-	False
KRH44234	KRH44241	GLYMA_08G1981003	GLYMA_08G1988002	495	8	6	46211	+	-	False
KRH44234	KRH44242	GLYMA_08G1981003	GLYMA_08G1988001	495	8	7	53742	+	-	False
KRH44238	KRH44239	GLYMA_08G198500	GLYMA_08G198600	495	8	1	18467	-	-	True
KRH44238	KRH44241	GLYMA_08G198500	GLYMA_08G1988002	495	8	2	30863	-	-	True
KRH44238	KRH44242	GLYMA_08G198500	GLYMA_08G1988001	495	8	3	38394	-	-	True
KRH44238	KRH44251	GLYMA_08G198500	GLYMA_08G199400	495	8	7	96862	-	+	False
KRH44239	KRH44241	GLYMA_08G198600	GLYMA_08G1988002	495	8	1	12396	-	-	True
KRH44239	KRH44242	GLYMA_08G198600	GLYMA_08G1988001	495	8	2	19927	-	-	True
KRH44239	KRH44251	GLYMA_08G198600	GLYMA_08G199400	495	8	6	78395	-	+	False
KRH44241	KRH44242	GLYMA_08G1988002	GLYMA_08G1988001	495	8	1	7531	-	-	True
KRH44241	KRH44251	GLYMA_08G1988002	GLYMA_08G199400	495	8	5	65999	-	+	False
KRH44242	KRH44251	GLYMA_08G1988001	GLYMA_08G199400	495	8	4	58468	-	+	False
KRH35249	KRH35253	GLYMA_10G231800	GLYMA_10G232200	497	10	4	31384	-	+	False
KRH08881	KRH08882	GLYMA_16G180000	GLYMA_16G180100	497	16	1	6234	+	+	True
KRH08881	KRH08883	GLYMA_16G180000	GLYMA_16G180200	497	16	2	13041	+	+	True
KRH08882	KRH08883	GLYMA_16G180100	GLYMA_16G180200	497	16	1	6807	+	+	True
KRH38401	KRH38402	GLYMA_09G134000	GLYMA_09G134100	497	9	1	27855	+	+	True
KRH38401	KRH38403	GLYMA_09G134000	GLYMA_09G134200	497	9	2	42717	+	+	True
KRH38402	KRH38403	GLYMA_09G134100	GLYMA_09G134200	497	9	1	14862	+	+	True
KRH26567	KRH26569	GLYMA_12G180900	GLYMA_12G181000	501	12	1	4074	-	-	True
KRH26567	KRH26571	GLYMA_12G180900	GLYMA_12G181100	501	12	2	14044	-	-	True
KRH26569	KRH26571	GLYMA_12G181000	GLYMA_12G181100	501	12	1	9970	-	-	True
KRH22737	KRH22738	GLYMA_13G319700	GLYMA_13G319800	501	13	1	10571	+	+	True
KRH22737	KRH22739	GLYMA_13G319700	GLYMA_13G319900	501	13	2	17699	+	+	True
KRH22738	KRH22739	GLYMA_13G319800	GLYMA_13G319900	501	13	1	7128	+	+	True
KRH13793	KRH13794	GLYMA_15G264200	GLYMA_15G264300	502	15	1	12720	-	-	True
KRH06260	KRH06261	GLYMA_16G012400	GLYMA_16G012500	502	16	1	5428	-	-	True
KRG97291	KRG97292	GLYMA_19G262800	GLYMA_19G262900	502	19	1	4545	+	+	True
KRH47690	KRH47692	GLYMA_07G044100	GLYMA_07G044200	502	7	1	8335	-	-	True
KRG96771	KRG96772	GLYMA_19G231700	GLYMA_19G231800	503	19	1	5030	+	+	True
KRG96771	KRG96773	GLYMA_19G231700	GLYMA_19G231900	503	19	2	9444	+	+	True
KRG96771	KRG96774	GLYMA_19G231700	GLYMA_19G232000	503	19	3	18460	+	+	True
KRG96772	KRG96773	GLYMA_19G231800	GLYMA_19G231900	503	19	1	4414	+	+	True
KRG96772	KRG96774	GLYMA_19G231800	GLYMA_19G232000	503	19	2	13430	+	+	True
KRG96773	KRG96774	GLYMA_19G231900	GLYMA_19G232000	503	19	1	9016	+	+	True
KRG92916	KRG92918	GLYMA_20G237500	GLYMA_20G237700	503	20	2	8903	-	+	False
KRH68486	KRH68487	GLYMA_03G234300	GLYMA_03G234400	503	3	1	5398	+	+	True
KRH47364	KRH47365	GLYMA_07G024200	GLYMA_07G024300	504	7	1	15713	+	+	True
KRH47364	KRH47367	GLYMA_07G024200	GLYMA_07G024500	504	7	3	37647	+	+	True
KRH47364	KRH47368	GLYMA_07G024200	GLYMA_07G024600	504	7	4	50961	+	+	True
KRH47365	KRH47367	GLYMA_07G024300	GLYMA_07G024500	504	7	2	21934	+	+	True
KRH47365	KRH47368	GLYMA_07G024300	GLYMA_07G024600	504	7	3	35248	+	+	True
KRH47367	KRH47368	GLYMA_07G024500	GLYMA_07G024600	504	7	1	13314	+	+	True
KRH31895	KRH31896	GLYMA_10G019300	GLYMA_10G019400	505	10	1	16503	-	-	True
KRH71557	KRH71559	GLYMA_02G154800	GLYMA_02G155000	505	2	1	2679	+	+	True
KRH71557	KRH71560	GLYMA_02G154800	GLYMA_02G155100	505	2	2	22238	+	+	True
KRH71559	KRH71560	GLYMA_02G155000	GLYMA_02G155100	505	2	1	19559	+	+	True
KRH57221	KRH57224	GLYMA_05G0474002	GLYMA_05G0474001	505	5	1	14439	-	-	True
KRH37485	KRH37486	GLYMA_09G069100	GLYMA_09G069200	509	9	1	7752	-	-	True
KRH37485	KRH37487	GLYMA_09G069100	GLYMA_09G069300	509	9	2	8850	-	-	True
KRH37486	KRH37487	GLYMA_09G069200	GLYMA_09G069300	509	9	1	1098	-	-	True
KRH61316	KRH61317	GLYMA_04G039900	GLYMA_04G040000	510	4	1	7410	-	-	True
KRH61316	KRH61319	GLYMA_04G039900	GLYMA_04G040200	510	4	2	13833	-	-	True
KRH61316	KRH61320	GLYMA_04G039900	GLYMA_04G040300	510	4	3	16212	-	-	True
KRH61316	KRH61321	GLYMA_04G039900	GLYMA_04G040400	510	4	4	21423	-	-	True
KRH61316	KRH61322	GLYMA_04G039900	GLYMA_04G040500	510	4	5	29396	-	-	True
KRH61317	KRH61319	GLYMA_04G040000	GLYMA_04G040200	510	4	1	6423	-	-	True
KRH61317	KRH61320	GLYMA_04G040000	GLYMA_04G040300	510	4	2	8802	-	-	True
KRH61317	KRH61321	GLYMA_04G040000	GLYMA_04G040400	510	4	3	14013	-	-	True
KRH61317	KRH61322	GLYMA_04G040000	GLYMA_04G040500	510	4	4	21986	-	-	True
KRH61319	KRH61320	GLYMA_04G040200	GLYMA_04G040300	510	4	1	2379	-	-	True
KRH61319	KRH61321	GLYMA_04G040200	GLYMA_04G040400	510	4	2	7590	-	-	True
KRH61319	KRH61322	GLYMA_04G040200	GLYMA_04G040500	510	4	3	15563	-	-	True
KRH61320	KRH61321	GLYMA_04G040300	GLYMA_04G040400	510	4	1	5211	-	-	True
KRH61320	KRH61322	GLYMA_04G040300	GLYMA_04G040500	510	4	2	13184	-	-	True
KRH61321	KRH61322	GLYMA_04G040400	GLYMA_04G040500	510	4	1	7973	-	-	True
KRH52018	KRH52019	GLYMA_06G041200	GLYMA_06G041300	510	6	1	1144	-	-	True
KRH52018	KRH52020	GLYMA_06G041200	GLYMA_06G041400	510	6	2	10808	-	-	True
KRH52019	KRH52020	GLYMA_06G041300	GLYMA_06G041400	510	6	1	9664	-	-	True
KRH40990	KRH40991	GLYMA_08G003700	GLYMA_08G003800	510	8	1	1763	+	+	True
KRH33001	KRH33002	GLYMA_10G092500	GLYMA_10G092600	513	10	1	52145	-	-	True
KRH67025	KRH67026	GLYMA_03G142000	GLYMA_03G142100	513	3	1	2785	+	+	True
KRH32796	KRH32800	GLYMA_10G076600	GLYMA_10G076900	514	10	2	126410	+	+	True
KRH32796	KRH32802	GLYMA_10G076600	GLYMA_10G077100	514	10	4	266509	+	+	True
KRH32796	KRH32803	GLYMA_10G076600	GLYMA_10G077200	514	10	5	270003	+	+	True
KRH32796	KRH32804	GLYMA_10G076600	GLYMA_10G077300	514	10	6	273445	+	+	True
KRH32796	KRH32806	GLYMA_10G076600	GLYMA_10G077500	514	10	8	357043	+	+	True
KRH32800	KRH32802	GLYMA_10G076900	GLYMA_10G077100	514	10	2	140099	+	+	True
KRH32800	KRH32803	GLYMA_10G076900	GLYMA_10G077200	514	10	3	143593	+	+	True
KRH32800	KRH32804	GLYMA_10G076900	GLYMA_10G077300	514	10	4	147035	+	+	True
KRH32800	KRH32806	GLYMA_10G076900	GLYMA_10G077500	514	10	6	230633	+	+	True
KRH32802	KRH32803	GLYMA_10G077100	GLYMA_10G077200	514	10	1	3494	+	+	True
KRH32802	KRH32804	GLYMA_10G077100	GLYMA_10G077300	514	10	2	6936	+	+	True
KRH32802	KRH32806	GLYMA_10G077100	GLYMA_10G077500	514	10	4	90534	+	+	True
KRH32803	KRH32804	GLYMA_10G077200	GLYMA_10G077300	514	10	1	3442	+	+	True
KRH32803	KRH32806	GLYMA_10G077200	GLYMA_10G077500	514	10	3	87040	+	+	True
KRH32804	KRH32806	GLYMA_10G077300	GLYMA_10G077500	514	10	2	83598	+	+	True
KRH72235	KRH72239	GLYMA_02G199900	GLYMA_02G200200	514	2	2	26842	-	-	True
KRH09189	KRH09197	GLYMA_16G201800	GLYMA_16G202300	516	16	5	36916	+	+	True
KRG96932	KRG96933	GLYMA_19G241900	GLYMA_19G242000	516	19	1	2561	+	-	False
KRG96932	KRG96934	GLYMA_19G241900	GLYMA_19G242100	516	19	2	12910	+	-	False
KRG96933	KRG96934	GLYMA_19G242000	GLYMA_19G242100	516	19	1	10349	-	-	True
KRH68679	KRH68680	GLYMA_03G244300	GLYMA_03G244400	516	3	1	4670	-	-	True
KRH68679	KRH68695	GLYMA_03G244300	GLYMA_03G244600	516	3	3	26755	-	+	False
KRH68680	KRH68695	GLYMA_03G244400	GLYMA_03G244600	516	3	2	22085	-	+	False
KRH31057	KRH31058	GLYMA_11G224900	GLYMA_11G225000	518	11	1	4305	-	-	True
KRG97807	KRG97808	GLYMA_18G032300	GLYMA_18G032400	518	18	1	4887	-	+	False
KRG97807	KRG97809	GLYMA_18G032300	GLYMA_18G032500	518	18	2	10976	-	-	True
KRG97807	KRG97810	GLYMA_18G032300	GLYMA_18G032600	518	18	3	15915	-	+	False
KRG97807	KRG97811	GLYMA_18G032300	GLYMA_18G032700	518	18	4	20137	-	-	True
KRG97807	KRG97812	GLYMA_18G032300	GLYMA_18G032800	518	18	5	24971	-	+	False
KRG97807	KRG97813	GLYMA_18G032300	GLYMA_18G032900	518	18	6	27398	-	-	True
KRG97807	KRG97814	GLYMA_18G032300	GLYMA_18G033000	518	18	7	32689	-	+	False
KRG97807	KRG97815	GLYMA_18G032300	GLYMA_18G033100	518	18	8	37825	-	+	False
KRG97807	KRG97816	GLYMA_18G032300	GLYMA_18G033200	518	18	9	41869	-	+	False
KRG97808	KRG97809	GLYMA_18G032400	GLYMA_18G032500	518	18	1	6089	+	-	False
KRG97808	KRG97810	GLYMA_18G032400	GLYMA_18G032600	518	18	2	11028	+	+	True
KRG97808	KRG97811	GLYMA_18G032400	GLYMA_18G032700	518	18	3	15250	+	-	False
KRG97808	KRG97812	GLYMA_18G032400	GLYMA_18G032800	518	18	4	20084	+	+	True
KRG97808	KRG97813	GLYMA_18G032400	GLYMA_18G032900	518	18	5	22511	+	-	False
KRG97808	KRG97814	GLYMA_18G032400	GLYMA_18G033000	518	18	6	27802	+	+	True
KRG97808	KRG97815	GLYMA_18G032400	GLYMA_18G033100	518	18	7	32938	+	+	True
KRG97808	KRG97816	GLYMA_18G032400	GLYMA_18G033200	518	18	8	36982	+	+	True
KRG97809	KRG97810	GLYMA_18G032500	GLYMA_18G032600	518	18	1	4939	-	+	False
KRG97809	KRG97811	GLYMA_18G032500	GLYMA_18G032700	518	18	2	9161	-	-	True
KRG97809	KRG97812	GLYMA_18G032500	GLYMA_18G032800	518	18	3	13995	-	+	False
KRG97809	KRG97813	GLYMA_18G032500	GLYMA_18G032900	518	18	4	16422	-	-	True
KRG97809	KRG97814	GLYMA_18G032500	GLYMA_18G033000	518	18	5	21713	-	+	False
KRG97809	KRG97815	GLYMA_18G032500	GLYMA_18G033100	518	18	6	26849	-	+	False
KRG97809	KRG97816	GLYMA_18G032500	GLYMA_18G033200	518	18	7	30893	-	+	False
KRG97810	KRG97811	GLYMA_18G032600	GLYMA_18G032700	518	18	1	4222	+	-	False
KRG97810	KRG97812	GLYMA_18G032600	GLYMA_18G032800	518	18	2	9056	+	+	True
KRG97810	KRG97813	GLYMA_18G032600	GLYMA_18G032900	518	18	3	11483	+	-	False
KRG97810	KRG97814	GLYMA_18G032600	GLYMA_18G033000	518	18	4	16774	+	+	True
KRG97810	KRG97815	GLYMA_18G032600	GLYMA_18G033100	518	18	5	21910	+	+	True
KRG97810	KRG97816	GLYMA_18G032600	GLYMA_18G033200	518	18	6	25954	+	+	True
KRG97811	KRG97812	GLYMA_18G032700	GLYMA_18G032800	518	18	1	4834	-	+	False
KRG97811	KRG97813	GLYMA_18G032700	GLYMA_18G032900	518	18	2	7261	-	-	True
KRG97811	KRG97814	GLYMA_18G032700	GLYMA_18G033000	518	18	3	12552	-	+	False
KRG97811	KRG97815	GLYMA_18G032700	GLYMA_18G033100	518	18	4	17688	-	+	False
KRG97811	KRG97816	GLYMA_18G032700	GLYMA_18G033200	518	18	5	21732	-	+	False
KRG97812	KRG97813	GLYMA_18G032800	GLYMA_18G032900	518	18	1	2427	+	-	False
KRG97812	KRG97814	GLYMA_18G032800	GLYMA_18G033000	518	18	2	7718	+	+	True
KRG97812	KRG97815	GLYMA_18G032800	GLYMA_18G033100	518	18	3	12854	+	+	True
KRG97812	KRG97816	GLYMA_18G032800	GLYMA_18G033200	518	18	4	16898	+	+	True
KRG97813	KRG97814	GLYMA_18G032900	GLYMA_18G033000	518	18	1	5291	-	+	False
KRG97813	KRG97815	GLYMA_18G032900	GLYMA_18G033100	518	18	2	10427	-	+	False
KRG97813	KRG97816	GLYMA_18G032900	GLYMA_18G033200	518	18	3	14471	-	+	False
KRG97814	KRG97815	GLYMA_18G033000	GLYMA_18G033100	518	18	1	5136	+	+	True
KRG97814	KRG97816	GLYMA_18G033000	GLYMA_18G033200	518	18	2	9180	+	+	True
KRG97815	KRG97816	GLYMA_18G033100	GLYMA_18G033200	518	18	1	4044	+	+	True
KRG98942	KRG98952	GLYMA_18G108900	GLYMA_18G109500	520	18	5	124509	-	-	True
KRH00712	KRH00714	GLYMA_18G231000	GLYMA_18G231200	520	18	2	9683	-	-	True
KRH45527	KRH45528	GLYMA_08G277000	GLYMA_08G277100	525	8	1	13896	+	+	True
KRH62173	KRH62176	GLYMA_04G091100	GLYMA_04G091200	526	4	1	13152	+	+	True
KRH62173	KRH62177	GLYMA_04G091100	GLYMA_04G091300	526	4	2	21174	+	+	True
KRH62176	KRH62177	GLYMA_04G091200	GLYMA_04G091300	526	4	1	8022	+	+	True
KRH52883	KRH52885	GLYMA_06G092800	GLYMA_06G092900	526	6	1	8424	+	+	True
KRH45507	KRH45508	GLYMA_08G275500	GLYMA_08G275600	526	8	1	49934	+	+	True
KRH59035	KRH59036	GLYMA_05G162500	GLYMA_05G162600	527	5	1	5183	+	+	True
KRH42923	KRH42926	GLYMA_08G120100	GLYMA_08G120200	527	8	1	5947	+	+	True
KRH10478	KRH10479	GLYMA_15G049700	GLYMA_15G049800	528	15	1	11633	-	-	True
KRH10478	KRH10480	GLYMA_15G049700	GLYMA_15G0499002	528	15	2	26878	-	-	True
KRH10479	KRH10480	GLYMA_15G049800	GLYMA_15G0499002	528	15	1	15245	-	-	True
KRH58342	KRH58343	GLYMA_05G121800	GLYMA_05G121900	528	5	1	5662	+	-	False
KRH42221	KRH42222	GLYMA_08G076600	GLYMA_08G076700	528	8	1	3215	+	+	True
KRH42221	KRH42223	GLYMA_08G076600	GLYMA_08G076800	528	8	2	9789	+	+	True
KRH42222	KRH42223	GLYMA_08G076700	GLYMA_08G076800	528	8	1	6574	+	+	True
KRH43951	KRH43958	GLYMA_08G182500	GLYMA_08G182700	528	8	1	13119	+	+	True
KRH43951	KRH43961	GLYMA_08G182500	GLYMA_08G182900	528	8	3	41078	+	+	True
KRH43958	KRH43961	GLYMA_08G182700	GLYMA_08G182900	528	8	2	27959	+	+	True
KRH04215	KRH04218	GLYMA_17G146900	GLYMA_17G147200	532	17	3	19099	-	-	True
KRH04215	KRH04220	GLYMA_17G146900	GLYMA_17G147400	532	17	5	33013	-	+	False
KRH04215	KRH04221	GLYMA_17G146900	GLYMA_17G147500	532	17	6	36619	-	-	True
KRH04215	KRH04222	GLYMA_17G146900	GLYMA_17G147600	532	17	7	57382	-	-	True
KRH04218	KRH04220	GLYMA_17G147200	GLYMA_17G147400	532	17	2	13914	-	+	False
KRH04218	KRH04221	GLYMA_17G147200	GLYMA_17G147500	532	17	3	17520	-	-	True
KRH04218	KRH04222	GLYMA_17G147200	GLYMA_17G147600	532	17	4	38283	-	-	True
KRH04220	KRH04221	GLYMA_17G147400	GLYMA_17G147500	532	17	1	3606	+	-	False
KRH04220	KRH04222	GLYMA_17G147400	GLYMA_17G147600	532	17	2	24369	+	-	False
KRH04221	KRH04222	GLYMA_17G147500	GLYMA_17G147600	532	17	1	20763	-	-	True
KRH57506	KRH57507	GLYMA_05G065100	GLYMA_05G065200	532	5	1	8252	-	-	True
KRH57506	KRH57508	GLYMA_05G065100	GLYMA_05G065300	532	5	2	12280	-	+	False
KRH57506	KRH57512	GLYMA_05G065100	GLYMA_05G065700	532	5	6	41911	-	-	True
KRH57506	KRH57515	GLYMA_05G065100	GLYMA_05G065800	532	5	7	60350	-	-	True
KRH57507	KRH57508	GLYMA_05G065200	GLYMA_05G065300	532	5	1	4028	-	+	False
KRH57507	KRH57512	GLYMA_05G065200	GLYMA_05G065700	532	5	5	33659	-	-	True
KRH57507	KRH57515	GLYMA_05G065200	GLYMA_05G065800	532	5	6	52098	-	-	True
KRH57508	KRH57512	GLYMA_05G065300	GLYMA_05G065700	532	5	4	29631	+	-	False
KRH57508	KRH57515	GLYMA_05G065300	GLYMA_05G065800	532	5	5	48070	+	-	False
KRH57512	KRH57515	GLYMA_05G065700	GLYMA_05G065800	532	5	1	18439	-	-	True
KRH30013	KRH30014	GLYMA_11G153200	GLYMA_11G153300	534	11	1	17603	-	-	True
KRH20783	KRH20785	GLYMA_13G200200	GLYMA_13G200300	534	13	1	10225	+	+	True
KRH13435	KRH13441	GLYMA_15G238600	GLYMA_15G239200	534	15	4	50243	+	+	True
KRH13435	KRH13442	GLYMA_15G238600	GLYMA_15G239300	534	15	5	57089	+	+	True
KRH13435	KRH13444	GLYMA_15G238600	GLYMA_15G239500	534	15	6	143937	+	+	True
KRH13435	KRH13445	GLYMA_15G238600	GLYMA_15G239600	534	15	7	157045	+	+	True
KRH13435	KRH13446	GLYMA_15G238600	GLYMA_15G239700	534	15	8	165799	+	+	True
KRH13441	KRH13442	GLYMA_15G239200	GLYMA_15G239300	534	15	1	6846	+	+	True
KRH13441	KRH13444	GLYMA_15G239200	GLYMA_15G239500	534	15	2	93694	+	+	True
